recipient_region,recipient_offset,candidate_rank,donor_seed_offset,proxy_gain_bytes
2,2097152,0,1050368,-21
5,5242880,0,4277504,-6
7,7340032,0,6567936,-43
8,8388608,0,7842560,-24
9,9437184,0,8709120,-15
9,9437184,1,7843072,-23
10,10485760,0,9463808,-16
10,10485760,1,8804864,-24
10,10485760,2,8327424,-28
11,11534336,0,9461760,-14
11,11534336,1,11369984,-22
11,11534336,2,7843328,-23
12,12582912,0,8709120,-10
12,12582912,1,9461760,-10
12,12582912,2,7842560,-13
12,12582912,3,12367104,-13
12,12582912,4,11369728,-14
13,13631488,0,11850752,-28
13,13631488,1,12915712,-29
13,13631488,2,9992192,-32
13,13631488,3,10827264,-36
14,14680064,0,12915712,-29
14,14680064,1,11850752,-30
14,14680064,2,9992448,-31
14,14680064,3,8327424,-37
14,14680064,4,14482432,-38
14,14680064,5,10849536,-44
15,15728640,0,7842560,-7
15,15728640,1,14481920,-7
15,15728640,2,13009920,-8
15,15728640,3,8804352,-12
15,15728640,4,9461504,-13
15,15728640,5,12367104,-13
15,15728640,6,15540992,-13
15,15728640,7,11369984,-14
16,16777216,0,11261184,-25
16,16777216,1,15037184,-26
16,16777216,2,14196224,-27
16,16777216,3,15930368,-28
16,16777216,4,9992704,-32
16,16777216,5,12915712,-32
16,16777216,6,11850752,-35
17,17825792,0,8665088,-8
17,17825792,1,13707776,-12
17,17825792,2,16174848,-13
17,17825792,3,7677952,-15
17,17825792,4,17766912,-17
17,17825792,5,12000000,-18
17,17825792,6,14897664,-18
17,17825792,7,11283712,-20
17,17825792,8,9723392,-22
18,18874368,0,11283712,-11
18,18874368,1,16961024,-17
18,18874368,2,14195968,-18
18,18874368,3,15037184,-18
18,18874368,4,15928320,-20
18,18874368,5,11692032,-27
18,18874368,6,12915456,-36
18,18874368,7,9992192,-40
19,19922944,0,15037184,-12
19,19922944,1,19500800,-13
19,19922944,2,17955584,-14
19,19922944,3,15930112,-15
19,19922944,4,17804288,-15
19,19922944,5,11283712,-17
19,19922944,6,13717760,-18
19,19922944,7,11850496,-19
19,19922944,8,12915456,-22
19,19922944,9,9992192,-23
20,20971520,0,12367104,-6
20,20971520,1,9461760,-9
20,20971520,2,11369984,-9
20,20971520,3,15540736,-9
20,20971520,4,13009920,-10
20,20971520,5,16308736,-11
20,20971520,6,17468672,-17
20,20971520,7,14196224,-22
20,20971520,8,19521024,-24
